OrderID,CustomerName,ProductCategory,Price,Quantity,Discount,OrderDate
1001,David,home,357.21,4,0.1,2026-01-01 00:00:00
1002,alice,TOYS,177.48,8,0.0,2026-01-01 01:00:00
1003,alice,electronics,80.89,10,0.0,2026-01-01 02:00:00
1004,BOB,home,125.65,7,,2026-01-01 03:00:00
1005,BOB,Sports,462.21,6,,2026-01-01 04:00:00
1006,eve,Sports,248.98,2,,2026-01-01 05:00:00
1007,alice,electronics,136.45,8,0.2,2026-01-01 06:00:00
1008,alice,TOYS,39.28,4,0.15,2026-01-01 07:00:00
1009,charlie,Sports,261.68,8,,2026-01-01 08:00:00
1010,FRANK,Sports,195.59,10,0.15,2026-01-01 09:00:00
1011,alice,Sports,167.95,9,0.2,2026-01-01 10:00:00
1012,charlie,TOYS,139.18,9,0.2,2026-01-01 11:00:00
1013,BOB,Sports,155.5,4,0.15,2026-01-01 12:00:00
1014,alice,TOYS,29.55,9,0.0,2026-01-01 13:00:00
1015,BOB,home,199.25,4,0.1,2026-01-01 14:00:00
1016,David,home,481.27,8,0.1,2026-01-01 15:00:00
1017,David,home,225.72,1,0.15,2026-01-01 16:00:00
1018,FRANK,TOYS,64.38,2,,2026-01-01 17:00:00
1019,David,TOYS,194.13,7,,2026-01-01 18:00:00
1020,BOB,home,313.3,3,0.1,2026-01-01 19:00:00
1021,David,home,174.52,2,0.15,2026-01-01 20:00:00
1022,charlie,Clothing,311.38,3,0.15,2026-01-01 21:00:00
1023,eve,Sports,417.39,2,0.1,2026-01-01 22:00:00
1024,alice,TOYS,470.78,6,0.15,2026-01-01 23:00:00
1025,BOB,electronics,264.62,4,,2026-01-02 00:00:00
1026,eve,TOYS,14.53,2,0.2,2026-01-02 01:00:00
1027,FRANK,TOYS,242.63,2,0.15,2026-01-02 02:00:00
1028,alice,home,85.58,4,0.2,2026-01-02 03:00:00
1029,eve,Clothing,205.65,1,0.0,2026-01-02 04:00:00
1030,BOB,Clothing,307.34,7,0.2,2026-01-02 05:00:00
1031,alice,TOYS,13.58,2,0.2,2026-01-02 06:00:00
1032,alice,electronics,86.95,5,0.0,2026-01-02 07:00:00
1033,David,electronics,224.01,4,0.0,2026-01-02 08:00:00
1034,eve,Sports,16.9,7,0.15,2026-01-02 09:00:00
1035,BOB,home,396.81,6,0.0,2026-01-02 10:00:00
1036,alice,home,292.15,8,,2026-01-02 11:00:00
1037,charlie,TOYS,114.94,7,0.0,2026-01-02 12:00:00
1038,alice,Clothing,116.16,9,0.1,2026-01-02 13:00:00
1039,eve,electronics,13.17,7,0.2,2026-01-02 14:00:00
1040,BOB,Sports,277.33,1,0.0,2026-01-02 15:00:00
1041,David,Sports,302.28,7,0.0,2026-01-02 16:00:00
1042,alice,Sports,465.32,10,0.0,2026-01-02 17:00:00
1043,BOB,Sports,402.72,8,0.0,2026-01-02 18:00:00
1044,eve,TOYS,61.12,9,0.1,2026-01-02 19:00:00
1045,eve,Sports,344.57,5,,2026-01-02 20:00:00
1046,BOB,Clothing,277.71,7,0.15,2026-01-02 21:00:00
1047,BOB,home,234.38,8,0.1,2026-01-02 22:00:00
1048,eve,TOYS,277.74,1,0.1,2026-01-02 23:00:00
1049,BOB,electronics,250.85,8,0.0,2026-01-03 00:00:00
1050,eve,electronics,228.16,3,0.2,2026-01-03 01:00:00
1051,FRANK,TOYS,94.39,10,,2026-01-03 02:00:00
1052,David,home,254.47,7,0.1,2026-01-03 03:00:00
1053,BOB,TOYS,290.38,7,0.0,2026-01-03 04:00:00
1054,alice,home,484.53,6,0.15,2026-01-03 05:00:00
