Product_ID,Product_Name,Category,Unit_Price
101,Product_101,Electronics,469.56
102,Product_102,Electronics,55.49
103,Product_103,Electronics,331.65
104,Product_104,Office Supplies,163.16
105,Product_105,Office Supplies,420.87
106,Product_106,Furniture,484.86
107,Product_107,Office Supplies,313.85
108,Product_108,Office Supplies,428.72
109,Product_109,Office Supplies,375.38
110,Product_110,Electronics,220.61
111,Product_111,Office Supplies,375.04
112,Product_112,Electronics,431.25
113,Product_113,Office Supplies,238.77
114,Product_114,Electronics,477.71
115,Product_115,Office Supplies,270.04
116,Product_116,Electronics,392.7
117,Product_117,Furniture,457.66
118,Product_118,Office Supplies,231.73
119,Product_119,Electronics,468.17
120,Product_120,Office Supplies,71.81
